num_bur;AvgLevel;countSuccessPing;count_failPing
25.03.2020
1;-68,4;1903;1039
2;-63,9;5580;518
91;-66,7;2177;996
96;-68,1;1059;1179
97;-73,3;4510;662
98;-65,0;2798;927
99;-71,4;4653;672
100;-70,4;4604;641
102;-61,7;770;1206
103;-100;0;1309
105;-71,1;4145;763
106;-63,7;2503;963
107;-73,0;5559;521
108;-67,2;3285;846
109;-67,8;5628;476
111;-67,2;5643;470
26.03.2020
1;-70,8;8249;139
2;-69,6;8015;180
91;-66,0;7701;207
96;-69,8;2664;905
97;-71,3;6546;380
98;-67,8;8549;45
99;-71,4;8337;85
100;-72,3;6417;413
102;-71,3;7670;200
103;-80,1;1416;1162
105;-70,8;8085;137
106;-64,7;8579;25
107;-67,8;7800;154
108;-75,0;7445;303
109;-67,2;7698;161
111;-70,1;7723;191
27.03.2020
1;-69,4;8163;27
2;-69,9;7619;115
91;-66,6;7949;85
96;-64,3;7904;65
97;-70,3;7318;197
98;-68,2;8067;89
99;-72,8;8169;21
100;-67,0;5060;510
102;-73,6;6722;259
103;-69,4;7773;211
105;-70,3;8170;22
106;-70,0;2710;913
107;-69,7;8169;22
108;-77,8;7578;231
109;-67,4;8186;10
111;-69,7;8156;30
28.03.2020
1;-72,7;4497;109
2;-72,8;4758;32
91;-73,0;4571;84
96;-65,9;4807;0
97;-65,5;4805;2
98;-65,9;4742;43
99;-69,9;4797;8
100;-63,7;4808;0
102;-66,4;4481;87
103;-65,9;4763;30
105;-72,6;3806;215
106;-75,2;3901;208
107;-68,3;4802;4
108;-78,9;4640;112
109;-67,2;4806;1
111;-69,7;4768;23
